id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710056,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1995/96,composite,light,Lower Shire valley,2741.7,35,0,0,1225
710056,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1995/96,composite,light,Lower Shire valley,1188.07,35,10,2,1225
710066,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71006,712600,8286400,1995/96,MH18,light,Lower Shire valley,1736.41,35,0,0,1225
710066,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71006,712600,8286400,1995/96,MH18,light,Lower Shire valley,2138.52597,35,10,2,1225
710076,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71007,710600,8270600,1995/96,MH18,medium,Lower Shire valley,1334.29403,35,0,0,1225
710076,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71007,710600,8270600,1995/96,MH18,medium,Lower Shire valley,2705.14403,35,10,2,1225
710096,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1995/96,MH18,light,Lower Shire valley,2010.58,35,0,0,1225
710096,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1995/96,MH18,light,Lower Shire valley,2303.02807,35,10,2,1225
710106,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1995/96,MH18,light,Lower Shire valley,1645.02,35,0,0,1225
710106,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1995/96,MH18,light,Lower Shire valley,1645.02,35,10,2,1225
710126,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1995/96,MH18,light,Lower Shire valley,2394.41807,35,0,0,1225
710126,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1995/96,MH18,light,Lower Shire valley,2339.58403,35,10,2,1225
710136,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1995/96,MH18,medium,Lower Shire valley,4350.16386,35,0,0,1225
710136,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1995/96,MH18,medium,Lower Shire valley,3838.38,35,10,2,1225
710146,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71014,706900,8272400,1995/96,MH18,medium,Lower Shire valley,1224.62597,35,0,0,1225
710146,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71014,706900,8272400,1995/96,MH18,medium,Lower Shire valley,2211.63807,35,10,2,1225
